userId,itemId,rating,timestamp
0,0,5,1635239683
1,0,5,1633174927
2,0,5,1624073029
3,0,5,1632997623
4,0,4,1620797537
5,0,5,1625142015
6,0,5,1638153574
7,0,5,1637672034
8,0,4,1637834646
9,0,5,1629342166
10,0,5,1619917002
11,0,5,1635127474
12,0,1,1633430643
13,0,4,1635170808
14,0,5,1640081884
15,0,5,1637849140
16,0,5,1623228110
17,0,4,1629011288
18,0,5,1622106559
19,0,5,1636279952
20,0,5,1612268798
21,0,5,1634116750
22,0,5,1580792759
23,0,5,1619098463
24,0,4,1615481161
25,0,5,1625930117
26,1,5,1628479685
6,1,5,1632621467
27,1,5,1620280886
28,1,5,1631780958
21,1,5,1629553697
29,1,5,1619242645
30,1,4,1622389776
31,1,5,1628433585
4,1,5,1613997793
32,1,5,1619187024
33,1,5,1636953055
34,1,5,1632626314
35,1,5,1629272059
36,1,5,1630992961
37,1,5,1638269325
38,1,5,1627873802
16,1,5,1619477356
39,1,5,1629449047
40,1,5,1634490013
2,2,5,1624073132
41,2,5,1638227128
2,2,5,1624072882
42,2,5,1628784737
43,2,5,1634989764
44,2,5,1624162144
45,2,5,1620278413
46,2,3,1625198806
47,2,5,1623250865
48,2,5,1619523218
11,2,5,1633251145
34,2,5,1631928535
8,2,4,1637834704
10,2,5,1619917022
49,2,5,1634996735
50,2,5,1625810152
36,2,5,1633957999
51,2,5,1628737072
52,2,4,1583245920
53,2,5,1639571745
54,2,5,1631328807
35,2,5,1628557322
55,2,1,1639724253
56,2,5,1634867484
57,2,5,1623068342
58,2,5,1639466688
59,3,5,1619496338
2,3,5,1624095682
60,3,5,1629023904
61,3,5,1623128031
62,3,5,1625798455
28,3,5,1630739554
63,3,5,1631367409
64,3,5,1603781723
38,3,5,1626247291
65,3,5,1637252730
66,3,5,1627016997
36,3,5,1633600033
16,3,5,1623227971
31,3,5,1625581738
67,3,5,1631182127
68,4,4,1634472658
6,4,5,1635601026
69,4,5,1628863454
70,4,4,1625447939
71,4,5,1625117689
72,4,5,1628585996
73,4,5,1623275160
74,4,5,1624235781
75,4,5,1628162577
76,4,5,1638155004
0,4,5,1608091225
77,4,5,1626442563
78,4,5,1637751665
79,4,5,1628698080
34,4,5,1628599260
62,4,5,1619183662
80,4,5,1621280678
81,4,5,1623893984
50,4,5,1621343420
82,4,5,1626614023
83,4,5,1613797696
30,4,5,1624096190
31,4,5,1628571396
84,4,5,1623156818
85,4,5,1622714066
86,4,4,1608013156
28,4,5,1633272887
87,4,5,1635585154
88,5,5,1628009221
89,5,5,1639714019
90,5,5,1635582017
91,5,5,1636413487
92,5,5,1627466758
93,5,3,1626086134
94,5,4,1633510909
25,5,4,1626656693
95,5,4,1626794137
96,5,5,1636349947
97,5,5,1628501136
98,5,4,1633396596
99,5,4,1628939299
100,6,4,1635769850
101,6,5,1627470578
102,6,5,1632033568
103,6,4,1626488579
104,6,5,1627049453
105,6,4,1629613523
106,7,5,1633881721
107,7,5,1635412750
108,7,5,1632110545
109,7,5,1636449667
110,7,4,1638687567
111,7,5,1632189618
112,7,5,1637478323
113,7,5,1635764537
114,7,5,1634697095
115,8,5,1632451177
116,8,5,1639045220
117,8,5,1633614623
118,8,5,1635849856
119,8,5,1630807587
112,8,5,1637478314
41,8,5,1635677656
120,8,5,1615342731
121,9,5,1634351007
122,9,4,1639227300
123,9,5,1627044134
0,9,5,1598952165
52,9,5,1598748642
124,9,5,1629437354
125,9,5,1635215296
126,9,5,1609920347
